"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"100nf, 16V";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"";
"6";"10nf";"CAP_CERAMIC0603";"0603";"C4, C7, C8, C9, C10, C11";"Ceramic Capacitors";"";
"2";"10uf";"C-USC0805";"C0805";"C1, C2";"CAPACITOR, American symbol";"";
"1";"1N5819";"DIODESOD-123";"SOD-123";"D1";"Diode";"";
"1";"1uf, 16V";"C-USC0805";"C0805";"C6";"CAPACITOR, American symbol";"";
"1";"1x10 male header,2.54mm";"PINHD-1X10";"1X10";"JP3";"PIN HEADER";"";
"1";"1x6 male header,2.54mm";"MA06-1";"MA06-1";"JP2";"PIN HEADER";"";
"2";"1x8 male header,2.54mm";"PINHD-1X8";"1X08";"JP1, JP4";"PIN HEADER";"";
"1";"2.1MMJACKSMT";"2.1MMJACKSMT";"DCJACK_2MM_SMT";"U$3";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";
"1";"220uf";"CPOL-USD";"PANASONIC_D";"C3";"POLARIZED CAPACITOR, American symbol";"";
"2";"2k7";"R-US_R0603";"R0603";"R6, R7";"RESISTOR, American symbol";"";
"6";"2x2 male header, 2.54";"PINHD-2X2";"2X02";"JP6, JP7, JP8, JP9, JP10, JP12";"PIN HEADER";"";
"1";"2x20 SMD male header, 2.54mm pitch";"PINHD-2X20SMT";"2X20_SMT";"JP5";"PIN HEADER";"";
"1";"2x3 female header, 2.54 pitch, 10mm leads";"MA03-2";"MA03-2";"JP11";"PIN HEADER";"";
"1";"2x3 male header, 2.54";"MA03-2";"MA03-2";"JP13";"PIN HEADER";"";
"4";"300";"R-US_R0603";"R0603";"R8, R9, R19, R23";"RESISTOR, American symbol";"";
"3";"330";"R-US_R0805";"R0805";"R1, R2, R3";"RESISTOR, American symbol";"";
"2";"3k3";"R-US_R0603";"R0603";"R4, R20";"RESISTOR, American symbol";"";
"2";"4k7";"R-US_R0603";"R0603";"R5, R21";"RESISTOR, American symbol";"";
"1";"680";"R-US_R0603";"R0603";"R22";"RESISTOR, American symbol";"";
"1";"6x6SMDTACT";"430152043826";"430152043826";"RESET";"6x6 mm SMD WS-TASV";"";
"1";"8V, 2.5A Hold";"SMD-PPTC-USE-PPTC-0.50A-15V-0.15OHM(1812)";"F1812";"F1";"307010040";"";
"1";"AMBER, 50MCD";"ADAFRUIT_LEDCHIPLED_0805";"ADAFRUIT_CHIPLED_0805";"GPIO_24";"LED";"";
"2";"BSS138Q-7-F";"MOSFET-NREFLOW";"SOT23";"Q8, Q9";"N-Channel Mosfet";"";
"1";"FDN360P";"FDN360P";"SUPER-SOT3";"Q7";"Single P-Channel, PowerTrench (R) MOSFET";"";
"1";"G18_SMD";"MICRO-USB_TYPE-B_SMDG18";"G18_SMD";"X1";"Micro-USB ConnectorType-B SMD";"";
"1";"GREEN, 26MCD";"ADAFRUIT_LEDCHIPLED_0805";"ADAFRUIT_CHIPLED_0805";"PWR";"LED";"";
"2";"MH2029-300Y";"WE-CBF_0805";"0805";"L1, L2";"SMD EMI Suppression Ferrite Beads";"";
"1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT223";"IC1";"3-Terminal 5V Positive Regulator";"";
"3";"NLSX4302E";"NLSX4302E";"UQFN8";"U1, U2, U3";"2-Bit 20 Mb/s Dual-Supply";"";
"1";"RED, 42MCD";"ADAFRUIT_LEDCHIPLED_0805";"ADAFRUIT_CHIPLED_0805";"D13";"LED";"";
"3";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"SJ1, SJ2, SJ3";"Solder Jumper";"";
